ID;SIGLA;NOME;DEFERIMENTO;PRES. NACIONAL;Nº DA LEGENDA
1;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;30/06/81;LUIZ FELIPE BALEIA TENUTO ROSSI;15
2;PTB;PARTIDO TRABALHISTA BRASILEIRO;03/11/81;KASSYO SANTOS RAMOS, presidente em exercício (Processo SEI nº 2021.00.000010465-5).;14
3;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;10/11/81;CARLOS LUPI;12
4;PT;PARTIDO DOS TRABALHADORES;11/02/82;GLEISI HELENA HOFFMANN;13
5;PCdoB;PARTIDO COMUNISTA DO BRASIL;23/06/88;LUCIANA BARBOSA DE OLIVEIRA SANTOS;65
6;PSB;PARTIDO SOCIALISTA BRASILEIRO;01/07/88;CARLOS ROBERTO SIQUEIRA DE BARROS;40
7;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;24/08/89;BRUNO CAVALCANTI DE ARAÚJO;45
8;AGIR;AGIR;22/02/90;DANIEL S. TOURINHO;36
9;PSC;PARTIDO SOCIAL CRISTÃO;29/03/90;EVERALDO DIAS PEREIRA;20
10;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;25/10/90;ANTONIO CARLOS BOSCO MASSAROLLO;33
11;CIDADANIA;CIDADANIA;19/03/92;ROBERTO JOÃO PEREIRA FREIRE;23
12;PV;PARTIDO VERDE;30/09/93;JOSÉ LUIZ DE FRANÇA PENNA;43
13;AVANTE;AVANTE;11/10/94;LUIS HENRIQUE DE OLIVEIRA RESENDE;70
14;PP;PROGRESSISTAS;16/11/95;CLAUDIO CAJADO SAMPAIO (Presidente em exercício);11
15;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;19/12/95;JOSÉ MARIA DE ALMEIDA;16
16;PCB;PARTIDO COMUNISTA BRASILEIRO;09/05/96;EDMILSON SILVA COSTA*;21
17;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;18/02/97;JULIO CEZAR FIDELIX CRUZ (PETIÇÃO CÍVEL 0600739-46.2022.6.00.0000);28
18;DC;DEMOCRACIA CRISTÃ;05/08/97;JOSÉ MARIA EYMAEL;27
19;PCO;PARTIDO DA CAUSA OPERÁRIA;30/09/97;RUI COSTA PIMENTA;29
20;PODE;PODEMOS;02/10/97;RENATA HELLMEISTER DE ABREU;19
21;REPUBLICANOS;REPUBLICANOS;25/08/05;MARCOS ANTONIO PEREIRA;10
22;PSOL;PARTIDO SOCIALISMO E LIBERDADE;15/09/05;JULIANO MEDEIROS;50
23;PL;PARTIDO LIBERAL;19/12/06;VALDEMAR COSTA NETO;22
24;PSD;PARTIDO SOCIAL DEMOCRÁTICO;27/09/11;GILBERTO KASSAB;55
25;PATRIOTA;PATRIOTA;19/06/12;OVASCO ROMA ALTIMARI RESENDE, Vice-presidente no exercício da presidência (PET 0600319-75.2021.6.00.0000);51
26;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;24/09/13;EURIPEDES GOMES DE MACEDO JUNIOR ( 0600666-74.2022.6.00.0000 );90
27;SOLIDARIEDADE;SOLIDARIEDADE;24/09/13;PAULO PEREIRA DA SILVA;77
28;NOVO;PARTIDO NOVO;15/09/15;EDUARDO RODRIGO FERNANDES RIBEIRO;30
29;REDE;REDE SUSTENTABILIDADE;22/09/15;HELOÍSA HELENA LIMA DE MORAES;18
30;PMB;PARTIDO DA MULHER BRASILEIRA;29/09/15;SUÊD HAIDAR NOGUEIRA;35
31;UP;UNIDADE POPULAR;10/12/19;LEONARDO PERICLES VIEIRA ROQUE;80
32;UNIÃO;UNIÃO BRASIL;08/02/22;LUCIANO CALDAS BIVAR;44
